company,booth_no,booth_id
"JOIN STAR TRADING CO., LTD.",K2181,661810
"Jong Shiann Enterprise Co., Ltd.",K3270,696317
"JTEKT THERMO SYSTEMS TAIWAN CO .,LTD",N1166,652990
"JUFAN INDUSTRIAL CO., LTD.",T9416,662041
"JUMBO LASER CO.,LTD.",L0005,652141
JUNG CHUNG TECHNOLOGY CORP.,R7806,650380
"Jung Sung Tech Co.,Ltd.",Q5636,653819
"JustYa Technology Co., Ltd.",L1125,652486
"JUSUNG ENGINEERING CO., LTD. TAIWAN BRANCH(SOUTH KOREA)",L0500,652189
"JYE YEU ENTERPRISE Co., Ltd",J2534,651400
"JYS OPTICAL INSTRUMENT CO.,Ltd",G0019,679571
Kagoshima prefecture,Q6143,654063
"KA-JENG Co., Ltd",S7007,662347
Kan I International Corp.,K2465,651679
KANAUE APPLIED MATERIAL CORP.,L0407,652257
Kaneka Corporation,S7137,650893
Kanematsu Corporation,Q5930,697107
Kanematsu Taiwan Corp.,L1007,652268
"Kashiyama Taiwan Co., Ltd.",M1034,652606
"KAWASAKI HEAVY INDUSTRIES, LTD. TAIPEI BRANCH (JAPAN)",P5822,653728
"KC CO., LTD.",K2476,656144
KC industrial,K2476,696767
KC INNOVATION,K2476,696766
"KC Tech Co., Ltd.",K2476,696765
KELVIN QUANTUM LTD,I3000,698042
"Kenmec Mechanical Engineering Co., Ltd.",L1216,653361
"Kenner Material & System Co., Ltd",Q5133,654707
"Kenturn Nano.Tec Co.,Ltd.",Q5744,653882
Ker Taur Company Ltd.,M1158,652896
"KEYARROW (TAIWAN) CO., LTD",S7230,650079
"Keyence Taiwan Co., LTD.",K2660,651403
Keysight Technologies Taiwan Ltd.,K2037,652115
Keystone Microtech Corporation,T9605,662006
"KIMOTO Co.,LTD",H0017,679925
Kinaxis Inc,Q6158,697945
Kinetic Systems Engineering & Services Inc.,L1205,654610
"King Lai Hygienic Materials Co., Ltd.",I2116,650945
"KING SUN INDUSTRY CO., LTD.",R7819,650254
"KINGVAST TECHNOLOGY CO.,LTD.",S7130,650076
"Kingyoup Enterprises Co., Ltd.",N0868,653009
Kinik Company,Q5130,653471
KISCO (TAIWAN) LTD.,T9232,662019
KITZ SCT Corporation,N0476,653098
"KIYOKAWA PLATING INDUSTRY CO.,LTD",I2900,696038
"KJT TECHNOLOGY CO., LTD.",I2326,697369
KLA Corporation,M0248,652759
"K-Max Technology Co., Ltd.",I2500,651024
KN Holdings,T9418,662043
Knight Auto Precision Engineering Pte Ltd,N0029,652164
Koh Young Technology Inc.,M1134,652608
"Kojem International Co.,Ltd.",T9501,661944
Kokusai Electric Corp.,N0886,655872
KOLINK INTERNATIONAL CORP.,R8219,650260
KoMiCo Technology,K2188,651011
"Konzern Laser Precision Co., LTD",L0916,683512
Korea Industry Intelligentization Association,R7312,697752
"Koscn Industrial Manufacturing（shenzhen）Co.,LTD",S7258,650767
"Kostek Systems, Inc.",N0490,656112
KOTRA (Korea Trade-Investment Promotion Agency),R7312,678688
Kromax International Corporation,J2134,650954
"K-Shine Quartz CO., Ltd.",S7958,650775
"KTSEAL CO., LTD.",P5127,654705
Kulicke & Soffa Pte Ltd,L0616,655471
Kumamoto Prefectural Government,Q6030,656249
Kung Hai Enterprise Corp.,R7620,650270
"KURARAY CO.,LTD",S8036,650840
"KVCINS CO.,LTD.",R7312,697742
Kyoto Prefecture,Q6036,654093
Kyushu Railway Company,H0041,683404
KYZEN CORPORATION,I2423,651251
LAB14,R7724,650305
Lam Research Corporation,M0858,652890
"Lasertec Taiwan, Inc.",L1128,654782
"LASERTEK TAIWAN CO.,LTD",S7652,650717
Latent Technologies Inc.,I3200,651978
"LEADER VISION TECHNOLOGY CO., LTD.",K2982,651871
"LeadinWay Co., Ltd.",S7540,650553
Leafy Lab,T9404,698068
"LEEDO TECHNOLOGY CO., LTD.",S7140,650565
Levitronix GmbH Taiwan Branch,J2256,651623
LG Chem,S7430,650350
LIAKO TECH. CORP.,T9037,661893
LIGHT TRACE PHOTONICS LTD,I3000,698053
"Lim Chemical Co., Ltd.",N0470,653026
Limitek Ltd.,P6100,653537
"Linde LienHwa Industrial Gases Co., Ltd.",L0210,652303
Linque GmbH,R7112,698136
LINTEC Advanced Technologies (Taiwan) Inc.,M0734,652601
"LINTEC Co., Ltd.",R7321,650264
LiVe Optronics Company Limited,T9404,698069
"LiveStrong Optoelectronics Co., Ltd.",R7200,698218
"LNEYA Thermo Refrigeration Co.,Ltd.",S7153,650901
"LON-GINE PRECISION INDUSTRY CO., LTD.",Q5836,653823
Lux Industries Ltd,I3000,697829
"LV INTERNATIONAL CO., LTD.",Q5352,697514
Lync Semi LLC,T9611,661980
MACDERMID PERFORMANCE SOLUTIONS TAIWAN LTD.,L0800,654593
MACHVISION Inc.,I2300,697109
"Macrotest Semiconductor Technology Co., Ltd.",K3266,652032
MACTECH CORPORATION,R7004,650858
"MACTRONIX SYSTEMS, LLC",S7741,650568
MADDE Inc,H0029,679937
Malvern Panalytical,I2129,661794
"MANOCK INDUSTRY CO., LTD.",Q5158,653499
Manz,M1248,653393
marco Systemanalyse und Entwicklung GmbH,R7112,698129
Marketech International Corp.,M0234,652591
Marposs Company,K2035,652112
Maruyama Chiller Corporation,N0285,653188
MASTech,S7330,698715
"MASTERLOK (ZHEJIANG) INTERNATIONAL TRADING CO., LTD.",L0629,652525
Max Luck Technology Inc,S7736,697880
Maxell Taiwan Ltd,N0983,655868
MAXWELL TECHNOLOGY PTE. LTD.,P6020,697887
MB Automation GmbH & Co. KG,R7112,698130
MCM EUROPE TRADING INC.,G0017,671663
"MDI Taiwan Innovations Co., Ltd.",R7918,650258
Meaglow Ltd,Q6158,697946
MEC TAIWAN COMPANY LTD.,R7100,650075
"Mecatron Machinery Co., Ltd.",S8158,650780
MEDC (Michigan Economic Development Corporation),S7330,697568
MEDICAL INTUBATION TECHNOLOGY CORPORATION,R7003,650862
"MELCON Co., Ltd.",S7537,650519
MEMPro Corp.,K3284,652041
Mesa Quantum,S7330,698714
"MetaSOL Co., Ltd.",R7312,697754
"MFC Sealing Technology Co., Ltd.",J2456,651627
Mi Equipment (M) Sdn. Bhd.,L0100,652181
"Micraft System Plus Co., Ltd.",P6122,655614
Micro Control Company,L0116,652373
"Microcosm Technology Co., LTD.",L1105,654622
Micro-Epsilon Taiwan,K2288,651917
Micro-Mechanics PTE. Ltd.,N0566,656034
Micron Star Technology Limited,J2438,656132
"MICRONICS JAPAN CO., LTD.",K2960,651417
"Microprogram Information Co., Ltd",P5512,653645
"Microsys Engineering Co., Ltd",M1355,653399
"MINDMAN INDUSTRIAL CO., LTD.",Q5246,655890
Mindox Techno Pte. Ltd.,S7736,650512
"Mingkun Technologies Co., Ltd.",N1086,653228
"Mipotech Co., Ltd",P5121,654258
Mirle Automation Corporation,N0676,653114
"MITSUBISHI CHEMICAL TAIWAN CO., LTD.",L0900,654600
"Mitsubishi Electric Automation(TAIWAN) Co.,Ltd.",J2754,651616
"Mitsui Fudosan Co., Ltd.",Q6135,656247
"Mitutoyo Taiwan Co., Ltd.",N0270,653022
mixxtech.io,I2923,698252
Miyagi Prefectural Government,Q6134,663225
Miyazaki Prefecture,Q6148,662318
"MKP Co., Ltd.",R8204,696138
MOL Solutions Inc.,S7552,650703
"MOOHO TECHNOLOGY CO., LTD.",G0007,654266
"Morich Trade Co., Ltd.",R7104,650369
MPP FASTENER CORPORATION,S7237,650503
MSP Corporation,P6118,695656
"MSSCORPS CO., LTD.",Q6230,654215
"Mu-tech Precision Co., Ltd",I2816,698248
MYCROPORE CORPORATION LTD.,L0006,652143
"Myungsung Instrument Co., Ltd.",R7312,697743
Nabu Optical Systems,T9404,698070
"NAGASE (TAIWAN) CO., LTD.",L0910,652316
"Nakajima Chemicals Co.,Ltd.",T9309,661968
Namics Corporation,J2940,651480
Nano Chemix Inc.,Q6235,697050
"Nano Electronics and Micro System Technologies, Inc.",L0300,652185
Nano Precision Corporation Limited,R8200,696136
Nanofilm Technologies International Limited,N0376,696207
Nanosurf AG,R7724,697321
"NANOSYS CO., LTD.",I3428,661779
"NanoSystem Solutions, Inc.",H0009,679921
"Nantong Wintime Semiconductor Technology Co., Ltd.",T9201,661938
Napson Corporation,I2430,651337
"National Center for Instrumentation Research, National Institutes Applied Research",N0482,653169
National Chung-Shan Institute of Science & Technology,T9029,661886
National Instruments Corporation,I2410,651127
"NDS (TAIWAN) CO., LTD.",M1058,652894
Neo Corporation,N0188,653237
Netherlands Office Taipei,K2760,698906
"NEW AMIGO CO.,LTD",S8146,662139
"New Best Wire Industrial Co., Ltd.",K2260,651387
"New Eiko Enterprise Co., Ltd.",S8239,650538
"New Fast Technology Co., Ltd.",J2440,656135
"New J.R. Electronic Co., Ltd.",J3246,652024
"New Smart Technology Co., Ltd",Q5452,653940
New YF Precision Corporation,I2510,651129
nexensor Inc,N1092,656041
"NEXTIN, Inc.",N1187,653229
"Nextool Technology Co.,Ltd",X0006,663529
"NEXTZHEN CO.,LTD",R7312,697749
NFORT TECHNOLOGY CORPORATION,R8023,650291
"NHK Spring (Taiwan) Co., Ltd.",K2876,651810
Nichias Corporation,T9120,662029
Niching Industrial Corp.,M0158,652877
"Nicslab Ops, Inc.",T9404,698071
NIDEC ADVANCE TECHNOLOGY TAIWAN CORPORATION,K3276,652052
"NIKEETECH CO., LTD",S7339,650523
NIKON CORPORATION,M0148,679627
"NINGBO HONGWU PIPE INDUSTRY CO., LTD.",X0013,654296
"Nippon Electric Glass Co., Ltd.",X0031,654305
"Nippon Sanso Taiwan, Inc.",M0256,652855
"NIPPON SHOKUBAI Co., Ltd.",S7836,655645
"NIPPON STEEL STAINLESS STEEL PIPE CO., LTD.",S7740,650556
"NISHIMURA CHEMITECH CO.,LTD",Q6058,654166
NISSEI CORPORATION,I2222,651248
"Nivek International Co., LTD.",K2786,651908
"Nordson Advanced Technology LLC, Taiwan Branch",I2308,651104
North Enging Corp.,K2568,651682
Notion Systems GmbH,R7724,697320
Nova Ltd.,L1000,654618
NOVOMORPHIC LTD,I3000,698043
"NS Technologies, Inc.",Q5930,653533
NSW Automation Sdn Bhd,P6101,697901
"NTS Technology Co., Ltd.",J2539,656133
NTT Advanced Technology Corporation,R8018,650423
Oculi,T9404,698072
ODA Technologies Co. Ltd.,P6218,654133
Odyssey Technical Solutions,J2137,661796
"OFUNA TECHNOLOGY Co.,Ltd.",Q5640,653851
Ohmplus Technology Inc.,I3022,680530
Okayama Prefecture Industrial Promotion Foundation,H0033,683408
OKins Electronics,K2685,651883
Oklahoma Department of Commerce,S7330,697564
"Okuno Taiwan Co.,Ltd.",S7630,650351
OMEGA Scientific Taiwan Ltd.,P5221,655586
OmniMeasure Technology Inc.,I3204,651980
OMRON Corporation,Q5842,653870
ONANO INDUSTRIAL CORP.,N1062,652941
Onn Wah Tech Pte Ltd.,P6121,697914
Onto Innovation,L0728,655461
"Optifab, Inc.",L1326,697770
"Orbray Co., Ltd.",N0166,654640
ORICUS SEMICON SOLUTIONS PTE. LTD.,P6016,697885
Orient Service Corp.,I2117,661791
ORIOLE NETWORKS LTD,I3000,697833
Orlando Economic Partnership,S7330,698712
ORO,R7312,697753
"Osaka Vacuum, Ltd.",I2327,651291
"OSS Technology Co., Ltd.",X0005,654292
Oxford Instruments,I2022,652103
Oxford Lasers Ltd,I3000,698044
"Pall Singapore Taiwan Branch Holding Co., Pte. Ltd.-HsinChu Office",L0216,652375
"Panasonic Connect Co., Ltd.",N1286,653431
"Panther Technology(Shenzhen)Co.,Ltd",J2153,661801
"PAO TAI PRECISION INDUSTRY CO., LTD.",R7221,655618
"PARAGON TECHNOLOGIES CO., LTD.",I3323,694310
Park Systems Corp.,N0966,652986
Parker Hannifin Taiwan Co. Ltd.,M0558,655814
"PARKSON WU INDUSTRIAL CO., LTD.",Q5738,655951
Particle Measuring Systems Inc.,I2225,650949
Pasco Precision Corp,Q5843,653868
"PBA SYSTEMS (TAIWAN) CO., LTD",Q5830,653529
"PDF Solutions, Inc.",J2834,651414
PEER Group Inc.,K2966,651711
PEMTRON Corporation,M1242,653387
Pentamaster,I2830,651345
PENTAPRO MATERIALS INC.,S8044,650620
"PERFECT MACHINE CO., LTD.",Q5352,697509
Pfeiffer Vacuum Taiwan Corporation,J2840,651478
PHIDRIX Inc.,R7725,683392
"PHOENIX CONTACT CO., LTD.",S7438,679672
PHOTARIX,I3000,697834
"PHOTON-TECH INSTRUMENTS CO., LTD.",K2982,695658
Physik Instrumente (PI) Taiwan Ltd,I2822,651260
Pibond Oy Taiwan Branch,L0828,655703
PICKERING TEST LTD,I3000,698045
"PIE Co., LTD",R7312,697757
Pinnacle Vacuum Components Taiwan Branch,R7504,650133
"PIONEER SEMICONDUCTOR MACHINE CO., LTD.",K3188,656251
"Pitotech Co., LTD",J3142,655790
PLANOPTIK AG,M0856,652873
"PLASTICNET CO., LTD.",K2286,651009
"PlayNitride Display Co., Ltd.",I3016,680525
PMI,J2434,656129
Poland Pavilion,I3116,651204
"POMME TECHNOLOGIES CO., LTD",P5800,655750
Poro Technologies Ltd,I3000,697830
"POSA MACHINERY CO., LTD.",Q5352,697511
"PowerTech Co., Ltd.",K2882,651869
Pragmatic Semiconductor Ltd,I3000,698046
Precision Machinery Research & Development Center,Q5352,697513
Precitec Optronik GmbH,K2029,652131
Premtek International Inc.,L0122,652446
Prestige Technology (S) Pte Ltd,P6012,697892
"Primarius Technologies Co.,Ltd.",J2638,651452
"Primary Tech Enterprise Co., Ltd.",L0530,698251
"ProbeLeader Co., Ltd",K2170,650984
ProSpectral Ltd,I3000,697831
"PROTEC CO., LTD.",N0388,653239
PSK Asia Inc.,M0848,652770
PTW ASIA PTE. LTD. TAIWAN BRANCH,N0882,655869
PVA Taiwan Ltd.,K3260,661870
Qnity Electronics,S7930,650099
Qualified AM GmbH,R7112,698135
Qualmax Taiwan Limited,K2264,650976
Quantumtek Innovatives Corporation,I2816,651198
Quatek International Limited Taiwan Branch,I2430,695990
QUICK SEMICONDUCTOR,H0034,693476
Quobly,R7324,697859
"Radiation Technology Co., Ltd.",J3153,651602
Rayvatek INC.,R7626,683393
"Rayzher Industrial Co., Ltd.",I2200,650970
"RECIF Technologies Taiwan Co., Ltd.",N0184,653189
ReeR Taiwan Ltd.,R8000,698678
REGO Electronics Inc.,I3422,661778
Rehm Thermal Systems (Hong Kong) Limited,P6112,655609
"REIWA MATERIAL CO.,LTD",X0022,654313
Reliya Technology Ltd.,I2326,651293
RENA Technologies GmbH,N1067,652987
Renishaw (Taiwan) Inc.,R8112,650209
"Resonac International(Taiwan) Co., Ltd",M1148,652776
Rigaku Corporation,N0592,653292
"Riken Keiki Taiwan Co., Ltd.",M0834,652602
"RION CO., LTD.",J2356,651625
"Riye Electric Co., Ltd.",R8005,650138
RKC INSTRUMENT INC.,Q5339,677755
Road Ahead Technologies Consultant Corp.,Q5143,654237
RockCore Technology,T9404,698074
Roechling Industrial (Singapore) Pte Ltd.,X0024,654314
Rohde & Schwarz GmbH & Co. KG,R7112,698137
"Rokko Electronics Co., Ltd.",K2168,650980
ROKKO Systems Pte Ltd,N0492,656115
"Rorze Technology, Inc.",J2734,651410
Rotarex,N0267,654639
"RPS CO., LTD.",J3156,652066
"RS Components Limited, Taiwan Branch",X0019,654299
"Ruter Elastomer Co., Ltd",K2034,652110
"Ruth Cleaning Technology Co., Ltd.",S7637,650508
"Sae Han Micro Tech Co., Ltd.",T9212,661963
Safe World Engineering,L1126,654779
Saga Prefecture,Q6130,663232
"Saint-Gobain Advanced Materials (Taiwan) Co., Ltd.",J2334,651392
Samco Inc.,N0367,654634
Sandvik Osprey Ltd.,X0016,654310
santec,T9204,661988
Sanwa Engineering Corp.,N0876,655862
Sanying Precision Instruments Co. Ltd,P6305,654181
"Sanyu Co.,Ltd",Q6235,697048
"SANYU REC CO.,LTD",I2004,652085
"Saultech Technology Co., Ltd.",N0976,653107
"SBT Ultrasonic Technology Co., Ltd.",Q5541,653846
"SCH Electronics Co., Ltd.",L0216,656176
SCHMID Taiwan Ltd.,S8258,650781
Schmidt Scientific Taiwan Ltd.,K2176,650993
SCHOTT AG,R7220,650265
Scientech Corporation,M0338,652593
"Scientific Gear Service Co., Ltd.",I3216,651991
"SDS TECH CO.,LTD",P5918,653703
SE Technologies Corp.,K2043,652119
Sealink Corp.,M0556,655811
SEBA Inc.,G0015,671658
"SEC CO., LTD.",Q6343,654192
"Security Platform as a Service, Administration for Digital Industries of moda",Q5346,653890
"SEIWA OPTICAL TAIWAN, INC.",N0038,652173
"SEKISUI CHEMICAL CO., LTD",H0031,679931
SelectFlorida,S7330,697560
"Selling-Ware Co., Ltd.",N0576,653100
"SEMES Co., Ltd.",M1040,652678
Semics Inc.,K2588,651923
Semilab Taiwan Co. Ltd.,K2386,651898
Semtek Corporation,J3240,652020
"Servomex, Inc.",I2225,698216
SET CORPORATION SA,N1184,653206
SGL CARBON GmbH,R7112,698133
"Shandong Chief Fluoride New Materials Co.,Ltd",X0021,654300
"Shandong Taihe Technologies Co., Ltd.",S7840,650557
"Shanghai GND eTech Co.,Ltd",S8341,650564
"SHANGHAI JIEHONG MECHANICAL EQUIPMENT CO., LTD",T9041,661900
"Shanghai Lasensor Photoelectric Technology Co., Ltd.",X0015,654297
"Shanghai Pullner Filtration Technology Co.,Ltd",T9056,697322
"Shanghai YD Technology (Group) Co., LTD.",R7612,650400
"SHE HONG INDUSTRIAL CO., LTD.",Q5352,697515
SHELLBACK Semiconductor Technology,J2157,661807
"SHENG CHUAN Technology CO.,LTD",P5512,696319
Shenmao Technology Inc.,L0930,652556
"Shenyang Heyan Technology Co.,Ltd",N0049,653336
"Shenzhen Hanchi Technology Co.,LTD",M1255,652848
"Shenzhen KHJ Technology Co.,Ltd",X0017,654298
"Shenzhen Merry Precise Electronic Co.,Ltd",N0866,652992
"Shenzhen Naso Tech Co.,Ltd",J3255,652064
"Shenzhen SinceVision Technology.co., Ltd.",T9023,661898
"Shenzhen Tensun Precision Equipment Co., Ltd",P5812,653651
"Shenzhen Xinyichang Technology Co., Ltd.",K3270,652049
"Shenzhen Youibot Robotics Co., Ltd.",R8024,650310
Shibaura Mechatronics Taiwan Corporation,N1176,653111
Shimifrez Inc.,Q6158,697947
"SHIN HAU TECHNOLOGY CO., LTD.",P5823,653726
"Shin Yuang Electric Co.,Ltd",P5113,654254
"Shin Yueh Applied Materials Co., Ltd.",K2970,697826
"SHINCRON.CO.,LTD.",I2826,651302
"Shinwa Controls Taiwan Co., Ltd.",J3450,661781
"Shiny Precision Co., Ltd",S7543,671562
"Shuz Tung Machinery Industrial Co.,Ltd.",K3068,651734
"SHYAN SHENG HITECH CO., LTD.",K2483,656217
SHYAWEI OPTRONICS CORPORATION,R7006,650859
"SIAMC Advanced Materials Co., Ltd.",J3239,655786
Siemens Limited Taiwan,Q5536,653817
SIGMA Technology Corporation,J2546,656087
Silicon SAXONY e.V.,K2760,651409
"SiliconAuto Taiwan CO., LTD.",T9116,662035
Sil-More Industrial Ltd.,I2322,651250
"Silvaco Taiwan Co., Ltd.",I2018,652098
SIMACO ELETTROMECCANICA S.R.L.,R8000,698679
SineTest Technologies Pte Ltd,P6123,697897
"SINFONIA TECHNOLOGY CO., LTD.",N1262,653407
Singapore Precision Engineering and Technology Association (SPETA),P6026,697890
"SINGWAY TECHNOLOGY CO.,LTD",L1016,652390
SinMat Technology Corp.,R7113,650881
Sinom Corporation,S7009,662348
"SINTECH TECHNOLOGY CO., LTD.",M1234,653379
Sipearl,R7324,697857
"SISSCA Co., Ltd.",I2300,651020
SIXSENSE PTE. LTD.,P6117,697894
"SKL Tech Co., Ltd.",L1127,652510
SmarAct GmbH,S8237,650836
"SMC Automation Co., Ltd.",J2746,651536
"SMFL MIRAI Partners Company, Limited",N0392,653288
Smiths Interconnect,K2054,652136
"Smytik (Kunshan) Precision Machinery Co.,Ltd",T9032,661887
Solace Corporation,Q6158,697948
Solar Plus Company,K3167,651714
Solinide Photonics AB,T9404,698075
Solomon Technology Corp.,Q5437,654716
Solstice Advanced Materials,S8137,650839
Sonix Inc,L0327,652495
"Southern Taiwan Science Park Bureau, National Science and Technology Council",R7200,650077
"SOW LONG INDUSTRIAL CO., LTD",S8337,650832
SPD Tech Valley Sdn. Bhd.,P6000,697902
SPECS Surface Nano Analysis GmbH,R7724,697319
"Speedfam Co., Ltd.",N0276,653094
SPT/SMALL PRECISION TOOLS,M0158,697836
"SRT Co., Ltd.",Q6235,697046
"SSK Co., Ltd.",T9308,661997
ST Co.,G0011,679569
"Standard Robots Co., Ltd.",Q5330,654045
Standard Technology Corporation,M0840,652674
Standex Electronics,I3024,680533
"Star Trade CO., LTD.",R8012,650208
State of Colorado,S7330,698244
State of Idaho,S7330,697563
"S-TEAM Lab, spol. s.r.o.",H0001,679917
"Stella Technology Co., Ltd.",K2382,651858
STMicroelectronics,R7324,697858
"SUCCESSFUL HEART TECHNOLOGY CO., LTD.",P6319,654199
"Sumika Chemical Analysis Service, Ltd.",L0227,652493
"Sumitomo (SHI) Cryogenics Taiwan Co., Ltd",N0036,652171
"Sumitomo Bakelite Co., Ltd.",T9512,661979
"Sumitomo Heavy Industries Material Solutions Co., Ltd.",R7124,655620
"Sumitronics Taiwan Co., Ltd",I2900,651032
"SUN Corporation, Ltd.",Q5458,653986
Sun-Opto Technology Corp.,I2405,651062
SUNSUN-TECH,M1157,652870
"Super Air Compressor Technology Co., Ltd.",R8019,650257
SUPERBIN COMPANY LTD.,Q5630,694324
SuperPlus TECH,P5300,653508
"Surfx Technologies Taiwan Co., Ltd.",K2584,651882
"SurplusGLOBAL, Inc.",M1140,652680
"SUSS MicroTec (Taiwan) Co., Ltd.",N0162,654635
"SUTING PRECISION INDUSTRIAL CO., LTD.",N0967,652985
"SuZhou Dongmai New Material Technology CO.,Ltd.",K3066,651713
"Suzhou Eoulu System Integration Co.,Ltd.",I2026,652130
Suzhou Ginet new material technology Co.Ltd,T9304,661992
"SuZhou Guangduo Micro, Nano Devices Co., Ltd",S7758,650773
"Suzhou Jingtou Semiconductor Technology Co., Ltd.",S8144,662136
"Suzhou Supermag Intelligent Technology Co.,Ltd.",S7133,654703
Swagelok Taiwan,R7524,650302
SWCC Corporation,S8042,650595
SYENSQO,Q5552,653942
"Symtek Automation Asia Co., Ltd.",N0776,656106
Synergie Cad GROUP,K2984,651892
"SynPower Co., Ltd.",N0776,697685
SYNUS Tech,R7312,697746
"SYO Technology Co., LTD.",K2045,652121
System General,K2983,651870
Systems Engineering Inc.,S7541,650567
"T&C Technical Co., Ltd.",S7012,650874
"Ta Liang Advanced Smart Technology Co., Ltd.",N1068,653013
"Tachia Yung Ho Machine Industry Co., Ltd",K2460,651395
"Taichi Metal Material Technology Co., Ltd.",R7200,698227
"TAIHO TOOL MFG. CO., LTD..",S8240,650571
TAIPURE,R7821,697417
"TAIWAN 3AXLE TECHNOLOGY CO., LTD.",R8106,650158
"Taiwan Aerogel Technology Materials Co., Ltd.",R7200,698221
Taiwan Air Water Mach Co. Ltd.,Q5243,653483
"TAIWAN ANJI MICROELECTRONICS TECHNOLOGY CO., LTD.",P6106,653597
"Taiwan Asahi Diamond Industrial Co., Ltd.",M0434,652595
TAIWAN ASSOCIATION OF MACHINERY INDUSTRY,X0012,664254
"Taiwan Busway Co., Ltd.",Q5530,653517
"TAIWAN CANDEAR INDUSTRY CO., LTD.",N0588,653243
"Taiwan Carrier Tape Enterprise Co., Ltd.",J2552,656092
"TAIWAN CHELIC CO., LTD.",J2946,651540
Taiwan CKD Corporation,I2716,651205
"TAIWAN DAIKIN ADVANCED CHEMICALS, INC.",L1108,652296
"Taiwan Fairfield Electronic Technology CO., LTD.",L0528,652524
TAIWAN FANUC CORPORATION,R7101,650875
Taiwan Fluid Power Association,Q5440,653847
"TAIWAN FYLIN INDUSTRIAL CO., LTD.",Q5937,653822
TAIWAN GRACE INTERNATIONAL CORPORATION,Q6043,653872
Taiwan High-Tech Facility Association,R7519,655749
Taiwan Hirata Corporation,Q5146,653487
"Taiwan Kanken Techno Co., Ltd.",J2554,651611
"Taiwan Kong King, Co., Ltd.",J2538,651451
"Taiwan Maxwave Co., Ltd.",S7452,650716
"Taiwan Mitsui Chemicals, Inc.",L0106,652254
"TAIWAN NEW COSMOS ELECTRIC CO., LTD",N0282,653163
"Taiwan Nitta Filter Co., Ltd.",I2107,661799
"TAIWAN PETRO CONVEYOR TRANSMISSION MACHINERY PARTS CO., LTD.",T9402,661942
Taiwan Puritic Corp.,I2106,650940
"TAIWAN SERVO DYNAMICS Co,. LTD",P5205,653445
"TAIWAN SHIIMA ELECTRONICS CO., LTD.",J3456,661783
Taiwan Stock Exchange Corporation,T9126,662080
"TAIWAN TRUEWIN TECHNOLOGY CO., LTD",Q5852,653948
"TAIWAN TSUBAKIMOTO TRADING CO.,LTD",Q5730,653525
Taiwan Uyemura Co Ltd,K2560,651399
"TAIWAN YUAN TAIFENG OPTRONICS CO., LTD.",M0838,652657
"Takai Precision Co., Ltd",L0001,652138
"Takano Co., Ltd.",L0400,652187
"Takumi Precision Co., Ltd.",Q5737,662349
"TANAKA PRECIOUS METAL GROUP CO., LTD.",S7858,650786
TAZMO Apprecia Formosa Inc.,M1258,653403
TDC Corporation,Q6134,698036
TDK Corporation,N0290,653262
"TDMC CO., LTD.",I3106,681184
"TECH PLUS PRECISION MACHINERY INDUSTRY CO., LTD.",I2622,651256
"Techgo Industrial Co., Ltd.",R7520,650269
TECHMAN ROBOT INC.,P5406,655724
"Technic Taiwan Co., Ltd.",N0031,655700
"Technic, Inc.",R7324,697862
"Technical & Try Co., Ltd.",J3052,651601
Technoprobe,R8000,698680
"TECNISCO, LTD.",R8222,650438
"TEEN-YU CO., LTD.",H0023,679928
Teesing Taiwan LTD.,Q5241,653481
"Tek Crown Technology Co., Ltd.",K2490,651941
"TEKSCAN, MEMS Technology",N0467,656083
Teltec Semiconductor Pacific Limited,N0570,656025
"Tendly Enterprises Co., Ltd.",Q5237,653477
Tenpro Advanced Technologies,I3426,661775
Tenstorrent Inc.,Q6158,697949
"TeraSolar Energy Materials Corp., Ltd.",X0032,654320
TES ELECTRICAL ELECTRONIC CORP.,I2304,651061
TESCAN GROUP TAIWAN Co. Ltd,R8201,696139
Tesec Corporation,K3367,652047
"Test Research, Inc. (TRI)",I3210,651988
Texwipe Asia,S7330,697565
TFE Inc.,K2048,652127
"T-GLOBAL TECHNOLOGY CO., LTD.",S7937,655646
Thales System Corporation,P6204,654175
"THE LEADER APPLIED MATERIALS CO., LTD.",K2470,651681
"The Marianas, USA",S7330,698243
The Swedish Trade & Invest Council,R8006,681255
THERMAP SOLUTIONS LTD,I3000,698047
"THINTECH MATERIALS TECHNOLOGY CO., LTD. LUKE BRANCH",R7200,698220
"THIRD ENTERPRISE CO., LTD.",R7506,650149
"THK Taiwan Co., Ltd",S7352,650701
THOMASCABLE,T9224,662032
Tinman Advanced System Technology Pte Ltd,X0004,663530
"Titan Electro-Optics Co., Ltd",I2001,652083
"Titan-Semi Co., Ltd.",K2370,655959
TMBA SMART TEAM,Q5352,654754
"Tohoku-MicroTec Co., Ltd",Q6134,698035
"TOKYO AIRCRAFT INSTRUMENT CO.,LTD.",T9108,661987
"Tokyo Diamond Tools Mfg. Co., Ltd.",Q6134,698032
Tokyo Electron Limited,M0648,652779
"Tokyo Keiso Co., Ltd.",J2656,651631
"Tomocube, Inc",T9237,662053
TONG YI MACHINERY INC.,S7730,650093
"Tongtai Machine & Tool Co., Ltd.",I2516,697773
"TOP TECH MACHINES CO., LTD.",S7841,650555
"Topco Scientific Co., Ltd.",I2700,651037
TopoLogic Inc.,T9404,698076
"Toray Engineering Co., Ltd.",J2234,651388
"Toward Technologies, Inc.",K3168,651736
